방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,aver_s,high_s,low_s,rain_s
2019-01-01 6:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,2099000,-5,-0.6,-8.2,0
2019-01-01 6:00,,100346,201079,테이트 여성 셀린니트3종,의류,39900,4371000,-5,-0.6,-8.2,0
2019-01-01 6:20,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,3262000,-5,-0.6,-8.2,0
2019-01-01 6:20,,100346,201079,테이트 여성 셀린니트3종,의류,39900,6955000,-5,-0.6,-8.2,0
2019-01-01 6:40,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,6672000,-5,-0.6,-8.2,0
2019-01-01 6:40,,100346,201079,테이트 여성 셀린니트3종,의류,39900,9337000,-5,-0.6,-8.2,0
2019-01-01 7:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,6819000,-5,-0.6,-8.2,0
2019-01-01 7:20,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,15689000,-5,-0.6,-8.2,0
2019-01-01 7:40,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,25370000,-5,-0.6,-8.2,0
2019-01-01 8:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,16133000,-5,-0.6,-8.2,0
2019-01-01 8:20,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,30061000,-5,-0.6,-8.2,0
2019-01-01 8:40,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,53542000,-5,-0.6,-8.2,0
2019-01-01 9:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,16075000,-5,-0.6,-8.2,0
2019-01-01 9:20,20,100816,202404,보코 리버시블 무스탕,의류,79000,25628000,-5,-0.6,-8.2,0
2019-01-01 9:40,20,100816,202404,보코 리버시블 무스탕,의류,79000,49270000,-5,-0.6,-8.2,0
2019-01-01 10:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,48799000,-5,-0.6,-8.2,0
2019-01-01 10:20,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,97907000,-5,-0.6,-8.2,0
2019-01-01 10:40,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,112972000,-5,-0.6,-8.2,0
2019-01-01 11:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,24531000,-5,-0.6,-8.2,0
2019-01-01 11:20,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,49829000,-5,-0.6,-8.2,0
2019-01-01 12:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,33823000,-5,-0.6,-8.2,0
2019-01-01 12:20,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59083000,-5,-0.6,-8.2,0
2019-01-01 12:40,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,99235000,-5,-0.6,-8.2,0
2019-01-01 13:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,32273000,-5,-0.6,-8.2,0
2019-01-01 13:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,79273000,-5,-0.6,-8.2,0
2019-01-01 14:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,11269000,-5,-0.6,-8.2,0
2019-01-01 14:00,,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,20841000,-5,-0.6,-8.2,0
