code_m,name_m,code_s,name_s,code_ss,name_ss
50000167,여성의류,50000805,니트/스웨터,,
,,50000806,카디건,,
,,50000807,원피스,,
,,50000803,티셔츠,,
,,50000804,블라우스/셔츠,,
,,50000814,점퍼,,
,,50000815,재킷,,
,,50000813,코트,,
,,50000809,청바지,,
,,50000808,스커트,,
,,50000812,레깅스,,
,,50000810,바지,,
,,50000818,트레이닝복,,
,,50000817,조끼,,
,,50000816,정장세트,,
,,50000819,한복,,
,,50000821,유니폼/단체복,,
,,50000820,파티복,,
,,50000822,레인코트,,
,,50000811,점프슈트,,
,,50000778,코디세트,,
,,50000999,여성수영복,,
,,50001000,비치웨어,,
50000168,여성언더웨어/잠옷,50000823,브라,,
,,50000824,팬티,,
,,50000825,브라팬티세트,,
,,50001452,보정속옷,50003624,니퍼/복대
,,,,50003625,코르셋
,,,,50003626,올인원/바디쉐이퍼
,,,,50003627,거들
,,,,50003630,보정속옷세트
,,,,50003631,기타보정속옷
,,50000826,잠옷/홈웨어,,
,,50000827,슬립,,
,,50000828,러닝/캐미솔,,
,,50000829,속치마/속바지,,
,,50001453,시즌성내의,50003632,내복
,,,,50003634,힙워머
,,,,50003635,모시메리
,,50001454,언더웨어소품,50003636,가터벨트
,,,,50003637,브라끈
,,,,50003638,브라패드
,,,,50003639,땀패드
,,,,50003816,기타언더웨어소품
50000169,남성의류,50000831,니트/스웨터,,
,,50000830,티셔츠,,
,,50000833,셔츠/남방,,
,,50000832,카디건,,
,,50000837,점퍼,,
,,50000838,재킷,,
,,50000839,코트,,
,,50000835,청바지,,
,,50000836,바지,,
,,50000834,조끼,,
,,50000840,정장세트,,
,,50000841,트레이닝복,,
,,50000842,한복,,
,,50000843,유니폼/단체복,,
,,50000844,레인코트,,
,,50006328,코디세트,,
,,50000998,남성수영복,,
,,50001000,비치웨어,,
50000170,남성언더웨어/잠옷,50000845,팬티,,
,,50000846,러닝,,
,,50000847,러닝팬티세트,,
,,50000848,잠옷/홈웨어,,
,,50001455,보정속옷,50003804,보정상의
,,,,50003805,보정하의
,,,,50003807,복대
,,50001456,시즌성내의,50003808,내복
,,,,50003810,모시메리
50000173,여성신발,50001459,단화,50003817,플랫
,,,,50003818,로퍼
,,,,50003819,옥스포드화
,,,,50003820,모카신/털신
,,,,50003821,슬립온
,,,,50003822,스니커즈
,,50001460,힐/펌프스,50003823,하이힐
,,,,50003824,가보시힐
,,,,50003825,스트랩힐
,,,,50003826,슬링백힐
